ray_x                  ray_y                    Time                     abs_prob
0.08                     0.065                    6.000000000000001E-9     0.6384621281119578
0.08                     0.075                    5.0E-9                   0.5918841437427573
0.08                     0.085                    2.0E-9                   0.5921810669500949
0.08                     0.095                    3.5000000000000003E-9    0.6125133698990074
0.08                     0.105                    3.5000000000000003E-9    0.6271837962834211
0.08                     0.115                    5.0E-9                   0.6413900990233584
0.08                     0.125                    4.500000000000001E-9     0.713656224583752
0.08                     0.135                    6.000000000000001E-9     0.7586686238088138
0.08                     0.145                    6.000000000000001E-9     0.7548170868847903
0.08                     0.155                    6.000000000000001E-9     0.7571601311432917
0.08                     0.165                    6.000000000000001E-9     0.7690785628514629
0.08                     0.175                    6.000000000000001E-9     0.762540981159786
0.08                     0.185                    6.000000000000001E-9     0.7731217699620138
0.08                     0.195                    6.000000000000001E-9     0.7614030741166133
0.08                     0.205                    6.000000000000001E-9     0.7418059033198907
0.08                     0.215                    6.000000000000001E-9     0.7330394666139095
0.08                     0.225                    6.000000000000001E-9     0.6544865076805981
0.08                     0.235                    4.500000000000001E-9     0.49495449635909317
0.09                     -0.225                   4.500000000000001E-9     0.6154467399243395
0.09                     -0.215                   6.000000000000001E-9     0.674797493701588
0.09                     -0.205                   6.000000000000001E-9     0.7468933017598661
0.09                     -0.195                   6.000000000000001E-9     0.7606550059779742
0.09                     -0.185                   6.000000000000001E-9     0.7682734564251301
0.09                     -0.175                   6.000000000000001E-9     0.7665813037496203
0.09                     -0.165                   6.000000000000001E-9     0.7590778699158847
0.09                     -0.155                   6.000000000000001E-9     0.7611127017467654
0.09                     -0.145                   6.000000000000001E-9     0.754087848695245
0.09                     -0.135                   6.000000000000001E-9     0.7581827951978696
0.09                     -0.125                   6.000000000000001E-9     0.7431235963190705
0.09                     -0.115                   5.0E-9                   0.6919930011809317
0.09                     -0.105                   4.0E-9                   0.6360485997238116
0.09                     -0.095                   3.5000000000000003E-9    0.6203173466221448
0.09                     -0.085                   3.5000000000000003E-9    0.6045578277701443
0.09                     -0.075                   2.0E-9                   0.5944009091708906
0.09                     -0.065                   2.0E-9                   0.5906709644991707
0.09                     -0.055                   6.000000000000001E-9     0.6161058610043129
0.09                     -0.045                   6.000000000000001E-9     0.6629625945657843
0.09                     -0.035                   6.000000000000001E-9     0.7052466122154241
0.09                     -0.025                   6.000000000000001E-9     0.7385938434510007
0.09                     -0.015                   6.000000000000001E-9     0.7481967204871187
